local_term,english_term,synonym_group,language,status
experiencing loss of appetite,Loss of Appetite,loss_of_appetite,hiligaynon,active
suffering from loss of appetite,Loss of Appetite,loss_of_appetite,hiligaynon,active
loss of appetite symptom,Loss of Appetite,loss_of_appetite,hiligaynon,active
feeling of loss of appetite,Loss of Appetite,loss_of_appetite,hiligaynon,active
complains of loss of appetite,Loss of Appetite,loss_of_appetite,hiligaynon,active
with loss of appetite,Loss of Appetite,loss_of_appetite,hiligaynon,active
loss of appetite present,Loss of Appetite,loss_of_appetite,hiligaynon,active
ongoing loss of appetite,Loss of Appetite,loss_of_appetite,hiligaynon,active
persistent loss of appetite,Loss of Appetite,loss_of_appetite,hiligaynon,active
i have urinary pain,Urinary Pain,urinary_pain,hiligaynon,active
experiencing urinary pain,Urinary Pain,urinary_pain,hiligaynon,active
suffering from urinary pain,Urinary Pain,urinary_pain,hiligaynon,active
urinary pain symptom,Urinary Pain,urinary_pain,hiligaynon,active
feeling of urinary pain,Urinary Pain,urinary_pain,hiligaynon,active
complains of urinary pain,Urinary Pain,urinary_pain,hiligaynon,active
with urinary pain,Urinary Pain,urinary_pain,hiligaynon,active
urinary pain present,Urinary Pain,urinary_pain,hiligaynon,active
ongoing urinary pain,Urinary Pain,urinary_pain,hiligaynon,active
persistent urinary pain,Urinary Pain,urinary_pain,hiligaynon,active
i have constipation,Constipation,constipation,hiligaynon,active
experiencing constipation,Constipation,constipation,hiligaynon,active
suffering from constipation,Constipation,constipation,hiligaynon,active
constipation symptom,Constipation,constipation,hiligaynon,active
feeling of constipation,Constipation,constipation,hiligaynon,active
complains of constipation,Constipation,constipation,hiligaynon,active
with constipation,Constipation,constipation,hiligaynon,active
constipation present,Constipation,constipation,hiligaynon,active
ongoing constipation,Constipation,constipation,hiligaynon,active
persistent constipation,Constipation,constipation,hiligaynon,active
i have insomnia,Insomnia,insomnia,hiligaynon,active
experiencing insomnia,Insomnia,insomnia,hiligaynon,active
suffering from insomnia,Insomnia,insomnia,hiligaynon,active
insomnia symptom,Insomnia,insomnia,hiligaynon,active
feeling of insomnia,Insomnia,insomnia,hiligaynon,active
complains of insomnia,Insomnia,insomnia,hiligaynon,active
with insomnia,Insomnia,insomnia,hiligaynon,active
insomnia present,Insomnia,insomnia,hiligaynon,active
ongoing insomnia,Insomnia,insomnia,hiligaynon,active
persistent insomnia,Insomnia,insomnia,hiligaynon,active
budlay tulog,Insomnia,insomnia,hiligaynon,active
indi makatulog,Insomnia,insomnia,hiligaynon,active
wala tulog,Insomnia,insomnia,hiligaynon,active
i have wheezing,Wheezing,wheezing,hiligaynon,active
experiencing wheezing,Wheezing,wheezing,hiligaynon,active
suffering from wheezing,Wheezing,wheezing,hiligaynon,active
wheezing symptom,Wheezing,wheezing,hiligaynon,active
feeling of wheezing,Wheezing,wheezing,hiligaynon,active
complains of wheezing,Wheezing,wheezing,hiligaynon,active
with wheezing,Wheezing,wheezing,hiligaynon,active
wheezing present,Wheezing,wheezing,hiligaynon,active
ongoing wheezing,Wheezing,wheezing,hiligaynon,active
persistent wheezing,Wheezing,wheezing,hiligaynon,active
i have coughing blood,Coughing Blood,coughing_blood,hiligaynon,active
experiencing coughing blood,Coughing Blood,coughing_blood,hiligaynon,active
suffering from coughing blood,Coughing Blood,coughing_blood,hiligaynon,active
coughing blood symptom,Coughing Blood,coughing_blood,hiligaynon,active
feeling of coughing blood,Coughing Blood,coughing_blood,hiligaynon,active
complains of coughing blood,Coughing Blood,coughing_blood,hiligaynon,active
with coughing blood,Coughing Blood,coughing_blood,hiligaynon,active
coughing blood present,Coughing Blood,coughing_blood,hiligaynon,active
ongoing coughing blood,Coughing Blood,coughing_blood,hiligaynon,active
persistent coughing blood,Coughing Blood,coughing_blood,hiligaynon,active
i have vomiting blood,Vomiting Blood,vomiting_blood,hiligaynon,active
experiencing vomiting blood,Vomiting Blood,vomiting_blood,hiligaynon,active
suffering from vomiting blood,Vomiting Blood,vomiting_blood,hiligaynon,active
vomiting blood symptom,Vomiting Blood,vomiting_blood,hiligaynon,active
feeling of vomiting blood,Vomiting Blood,vomiting_blood,hiligaynon,active
complains of vomiting blood,Vomiting Blood,vomiting_blood,hiligaynon,active
with vomiting blood,Vomiting Blood,vomiting_blood,hiligaynon,active
vomiting blood present,Vomiting Blood,vomiting_blood,hiligaynon,active
ongoing vomiting blood,Vomiting Blood,vomiting_blood,hiligaynon,active
persistent vomiting blood,Vomiting Blood,vomiting_blood,hiligaynon,active
may dugo sa suka,Vomiting Blood,vomiting_blood,hiligaynon,active
nagsuka dugo,Vomiting Blood,vomiting_blood,hiligaynon,active
dugo sa suka,Vomiting Blood,vomiting_blood,hiligaynon,active
i have fainting,Fainting,fainting,hiligaynon,active
experiencing fainting,Fainting,fainting,hiligaynon,active
suffering from fainting,Fainting,fainting,hiligaynon,active
fainting symptom,Fainting,fainting,hiligaynon,active
feeling of fainting,Fainting,fainting,hiligaynon,active
complains of fainting,Fainting,fainting,hiligaynon,active
with fainting,Fainting,fainting,hiligaynon,active
fainting present,Fainting,fainting,hiligaynon,active
ongoing fainting,Fainting,fainting,hiligaynon,active
persistent fainting,Fainting,fainting,hiligaynon,active
i have numbness,Numbness,numbness,hiligaynon,active
experiencing numbness,Numbness,numbness,hiligaynon,active
suffering from numbness,Numbness,numbness,hiligaynon,active
numbness symptom,Numbness,numbness,hiligaynon,active
feeling of numbness,Numbness,numbness,hiligaynon,active
complains of numbness,Numbness,numbness,hiligaynon,active
with numbness,Numbness,numbness,hiligaynon,active
numbness present,Numbness,numbness,hiligaynon,active
ongoing numbness,Numbness,numbness,hiligaynon,active
persistent numbness,Numbness,numbness,hiligaynon,active
i have paralysis,Paralysis,paralysis,hiligaynon,active
experiencing paralysis,Paralysis,paralysis,hiligaynon,active
suffering from paralysis,Paralysis,paralysis,hiligaynon,active
paralysis symptom,Paralysis,paralysis,hiligaynon,active
feeling of paralysis,Paralysis,paralysis,hiligaynon,active
complains of paralysis,Paralysis,paralysis,hiligaynon,active
with paralysis,Paralysis,paralysis,hiligaynon,active
paralysis present,Paralysis,paralysis,hiligaynon,active
ongoing paralysis,Paralysis,paralysis,hiligaynon,active
persistent paralysis,Paralysis,paralysis,hiligaynon,active
i have vision loss,Vision Loss,vision_loss,hiligaynon,active
experiencing vision loss,Vision Loss,vision_loss,hiligaynon,active
suffering from vision loss,Vision Loss,vision_loss,hiligaynon,active
vision loss symptom,Vision Loss,vision_loss,hiligaynon,active
feeling of vision loss,Vision Loss,vision_loss,hiligaynon,active
complains of vision loss,Vision Loss,vision_loss,hiligaynon,active
with vision loss,Vision Loss,vision_loss,hiligaynon,active
vision loss present,Vision Loss,vision_loss,hiligaynon,active
ongoing vision loss,Vision Loss,vision_loss,hiligaynon,active
persistent vision loss,Vision Loss,vision_loss,hiligaynon,active
i have 1-methylhistidinuria,1-Methylhistidinuria,1_methylhistidinuria,hiligaynon,active
experiencing 1-methylhistidinuria,1-Methylhistidinuria,1_methylhistidinuria,hiligaynon,active
suffering from 1-methylhistidinuria,1-Methylhistidinuria,1_methylhistidinuria,hiligaynon,active
1-methylhistidinuria symptom,1-Methylhistidinuria,1_methylhistidinuria,hiligaynon,active
feeling of 1-methylhistidinuria,1-Methylhistidinuria,1_methylhistidinuria,hiligaynon,active
complains of 1-methylhistidinuria,1-Methylhistidinuria,1_methylhistidinuria,hiligaynon,active
with 1-methylhistidinuria,1-Methylhistidinuria,1_methylhistidinuria,hiligaynon,active
1-methylhistidinuria present,1-Methylhistidinuria,1_methylhistidinuria,hiligaynon,active
ongoing 1-methylhistidinuria,1-Methylhistidinuria,1_methylhistidinuria,hiligaynon,active
persistent 1-methylhistidinuria,1-Methylhistidinuria,1_methylhistidinuria,hiligaynon,active
i have 1-minute apgar score of 0,1-minute APGAR Score of 0,1_minute_apgar_score_of_0,hiligaynon,active
experiencing 1-minute apgar score of 0,1-minute APGAR Score of 0,1_minute_apgar_score_of_0,hiligaynon,active
suffering from 1-minute apgar score of 0,1-minute APGAR Score of 0,1_minute_apgar_score_of_0,hiligaynon,active
1-minute apgar score of 0 symptom,1-minute APGAR Score of 0,1_minute_apgar_score_of_0,hiligaynon,active
feeling of 1-minute apgar score of 0,1-minute APGAR Score of 0,1_minute_apgar_score_of_0,hiligaynon,active
complains of 1-minute apgar score of 0,1-minute APGAR Score of 0,1_minute_apgar_score_of_0,hiligaynon,active
with 1-minute apgar score of 0,1-minute APGAR Score of 0,1_minute_apgar_score_of_0,hiligaynon,active
1-minute apgar score of 0 present,1-minute APGAR Score of 0,1_minute_apgar_score_of_0,hiligaynon,active
ongoing 1-minute apgar score of 0,1-minute APGAR Score of 0,1_minute_apgar_score_of_0,hiligaynon,active
persistent 1-minute apgar score of 0,1-minute APGAR Score of 0,1_minute_apgar_score_of_0,hiligaynon,active
i have 1-minute apgar score of 1,1-minute APGAR Score of 1,1_minute_apgar_score_of_1,hiligaynon,active
experiencing 1-minute apgar score of 1,1-minute APGAR Score of 1,1_minute_apgar_score_of_1,hiligaynon,active
suffering from 1-minute apgar score of 1,1-minute APGAR Score of 1,1_minute_apgar_score_of_1,hiligaynon,active
1-minute apgar score of 1 symptom,1-minute APGAR Score of 1,1_minute_apgar_score_of_1,hiligaynon,active
feeling of 1-minute apgar score of 1,1-minute APGAR Score of 1,1_minute_apgar_score_of_1,hiligaynon,active
complains of 1-minute apgar score of 1,1-minute APGAR Score of 1,1_minute_apgar_score_of_1,hiligaynon,active
with 1-minute apgar score of 1,1-minute APGAR Score of 1,1_minute_apgar_score_of_1,hiligaynon,active
1-minute apgar score of 1 present,1-minute APGAR Score of 1,1_minute_apgar_score_of_1,hiligaynon,active
ongoing 1-minute apgar score of 1,1-minute APGAR Score of 1,1_minute_apgar_score_of_1,hiligaynon,active
persistent 1-minute apgar score of 1,1-minute APGAR Score of 1,1_minute_apgar_score_of_1,hiligaynon,active
i have 1-minute apgar score of 2,1-minute APGAR Score of 2,1_minute_apgar_score_of_2,hiligaynon,active
experiencing 1-minute apgar score of 2,1-minute APGAR Score of 2,1_minute_apgar_score_of_2,hiligaynon,active
suffering from 1-minute apgar score of 2,1-minute APGAR Score of 2,1_minute_apgar_score_of_2,hiligaynon,active
1-minute apgar score of 2 symptom,1-minute APGAR Score of 2,1_minute_apgar_score_of_2,hiligaynon,active
feeling of 1-minute apgar score of 2,1-minute APGAR Score of 2,1_minute_apgar_score_of_2,hiligaynon,active
complains of 1-minute apgar score of 2,1-minute APGAR Score of 2,1_minute_apgar_score_of_2,hiligaynon,active
with 1-minute apgar score of 2,1-minute APGAR Score of 2,1_minute_apgar_score_of_2,hiligaynon,active
1-minute apgar score of 2 present,1-minute APGAR Score of 2,1_minute_apgar_score_of_2,hiligaynon,active
ongoing 1-minute apgar score of 2,1-minute APGAR Score of 2,1_minute_apgar_score_of_2,hiligaynon,active
persistent 1-minute apgar score of 2,1-minute APGAR Score of 2,1_minute_apgar_score_of_2,hiligaynon,active
i have 1-minute apgar score of 3,1-minute APGAR Score of 3,1_minute_apgar_score_of_3,hiligaynon,active
experiencing 1-minute apgar score of 3,1-minute APGAR Score of 3,1_minute_apgar_score_of_3,hiligaynon,active
suffering from 1-minute apgar score of 3,1-minute APGAR Score of 3,1_minute_apgar_score_of_3,hiligaynon,active
1-minute apgar score of 3 symptom,1-minute APGAR Score of 3,1_minute_apgar_score_of_3,hiligaynon,active
feeling of 1-minute apgar score of 3,1-minute APGAR Score of 3,1_minute_apgar_score_of_3,hiligaynon,active
complains of 1-minute apgar score of 3,1-minute APGAR Score of 3,1_minute_apgar_score_of_3,hiligaynon,active
with 1-minute apgar score of 3,1-minute APGAR Score of 3,1_minute_apgar_score_of_3,hiligaynon,active
1-minute apgar score of 3 present,1-minute APGAR Score of 3,1_minute_apgar_score_of_3,hiligaynon,active
ongoing 1-minute apgar score of 3,1-minute APGAR Score of 3,1_minute_apgar_score_of_3,hiligaynon,active
persistent 1-minute apgar score of 3,1-minute APGAR Score of 3,1_minute_apgar_score_of_3,hiligaynon,active
i have 1-minute apgar score of 4,1-minute APGAR Score of 4,1_minute_apgar_score_of_4,hiligaynon,active
experiencing 1-minute apgar score of 4,1-minute APGAR Score of 4,1_minute_apgar_score_of_4,hiligaynon,active
suffering from 1-minute apgar score of 4,1-minute APGAR Score of 4,1_minute_apgar_score_of_4,hiligaynon,active
1-minute apgar score of 4 symptom,1-minute APGAR Score of 4,1_minute_apgar_score_of_4,hiligaynon,active
feeling of 1-minute apgar score of 4,1-minute APGAR Score of 4,1_minute_apgar_score_of_4,hiligaynon,active
complains of 1-minute apgar score of 4,1-minute APGAR Score of 4,1_minute_apgar_score_of_4,hiligaynon,active
with 1-minute apgar score of 4,1-minute APGAR Score of 4,1_minute_apgar_score_of_4,hiligaynon,active
1-minute apgar score of 4 present,1-minute APGAR Score of 4,1_minute_apgar_score_of_4,hiligaynon,active
ongoing 1-minute apgar score of 4,1-minute APGAR Score of 4,1_minute_apgar_score_of_4,hiligaynon,active
persistent 1-minute apgar score of 4,1-minute APGAR Score of 4,1_minute_apgar_score_of_4,hiligaynon,active
i have 1-minute apgar score of 5,1-minute APGAR Score of 5,1_minute_apgar_score_of_5,hiligaynon,active
experiencing 1-minute apgar score of 5,1-minute APGAR Score of 5,1_minute_apgar_score_of_5,hiligaynon,active
suffering from 1-minute apgar score of 5,1-minute APGAR Score of 5,1_minute_apgar_score_of_5,hiligaynon,active
1-minute apgar score of 5 symptom,1-minute APGAR Score of 5,1_minute_apgar_score_of_5,hiligaynon,active
feeling of 1-minute apgar score of 5,1-minute APGAR Score of 5,1_minute_apgar_score_of_5,hiligaynon,active
complains of 1-minute apgar score of 5,1-minute APGAR Score of 5,1_minute_apgar_score_of_5,hiligaynon,active
with 1-minute apgar score of 5,1-minute APGAR Score of 5,1_minute_apgar_score_of_5,hiligaynon,active
1-minute apgar score of 5 present,1-minute APGAR Score of 5,1_minute_apgar_score_of_5,hiligaynon,active
ongoing 1-minute apgar score of 5,1-minute APGAR Score of 5,1_minute_apgar_score_of_5,hiligaynon,active
persistent 1-minute apgar score of 5,1-minute APGAR Score of 5,1_minute_apgar_score_of_5,hiligaynon,active
i have 1-minute apgar score of 6,1-minute APGAR Score of 6,1_minute_apgar_score_of_6,hiligaynon,active
experiencing 1-minute apgar score of 6,1-minute APGAR Score of 6,1_minute_apgar_score_of_6,hiligaynon,active
suffering from 1-minute apgar score of 6,1-minute APGAR Score of 6,1_minute_apgar_score_of_6,hiligaynon,active
1-minute apgar score of 6 symptom,1-minute APGAR Score of 6,1_minute_apgar_score_of_6,hiligaynon,active
feeling of 1-minute apgar score of 6,1-minute APGAR Score of 6,1_minute_apgar_score_of_6,hiligaynon,active
complains of 1-minute apgar score of 6,1-minute APGAR Score of 6,1_minute_apgar_score_of_6,hiligaynon,active
with 1-minute apgar score of 6,1-minute APGAR Score of 6,1_minute_apgar_score_of_6,hiligaynon,active
1-minute apgar score of 6 present,1-minute APGAR Score of 6,1_minute_apgar_score_of_6,hiligaynon,active
ongoing 1-minute apgar score of 6,1-minute APGAR Score of 6,1_minute_apgar_score_of_6,hiligaynon,active
persistent 1-minute apgar score of 6,1-minute APGAR Score of 6,1_minute_apgar_score_of_6,hiligaynon,active
i have 10 pairs of ribs,10 Pairs of Ribs,10_pairs_of_ribs,hiligaynon,active
experiencing 10 pairs of ribs,10 Pairs of Ribs,10_pairs_of_ribs,hiligaynon,active
suffering from 10 pairs of ribs,10 Pairs of Ribs,10_pairs_of_ribs,hiligaynon,active
10 pairs of ribs symptom,10 Pairs of Ribs,10_pairs_of_ribs,hiligaynon,active
feeling of 10 pairs of ribs,10 Pairs of Ribs,10_pairs_of_ribs,hiligaynon,active
complains of 10 pairs of ribs,10 Pairs of Ribs,10_pairs_of_ribs,hiligaynon,active
with 10 pairs of ribs,10 Pairs of Ribs,10_pairs_of_ribs,hiligaynon,active
10 pairs of ribs present,10 Pairs of Ribs,10_pairs_of_ribs,hiligaynon,active
ongoing 10 pairs of ribs,10 Pairs of Ribs,10_pairs_of_ribs,hiligaynon,active
persistent 10 pairs of ribs,10 Pairs of Ribs,10_pairs_of_ribs,hiligaynon,active
i have 10-minute apgar score of 0,10-minute APGAR Score of 0,10_minute_apgar_score_of_0,hiligaynon,active
experiencing 10-minute apgar score of 0,10-minute APGAR Score of 0,10_minute_apgar_score_of_0,hiligaynon,active
suffering from 10-minute apgar score of 0,10-minute APGAR Score of 0,10_minute_apgar_score_of_0,hiligaynon,active
