hiligaynon_term,alternative_spellings,english_translation,medical_term,category,severity_level,confidence_keywords
ginakapos ginhawa,ginaginhawa budlay;ginabudlayan ginhawa;budlay ginhawa;lisod magginhawa;ginakapos;ginagutok;ginakapos-ginhawa,shortness of breath,dyspnea,Respiratory,High,breathing;dyspnea;asthma;lung
lisod magginhawa,ginakapos ginhawa;ginaginhawa budlay;ginabudlayan ginhawa;budlay ginhawa;ginakapos;ginagutok;may lisod magginhawa;naglisod magginhawa;lisod-magginhawa;ginlisod magginhawa,shortness of breath,dyspnea,Respiratory,High,breathing;dyspnea;asthma;lung
ginasakit tutunlan,masakit tutunlan;sakit tutunlan;hapdi tutunlan;sore throat;ginasakit-tutunlan,sore throat,pharyngitis,Respiratory,Low,throat;pain;pharyngitis
hapdi tutunlan,masakit tutunlan;sakit tutunlan;ginasakit tutunlan;sore throat;naghapdi tutunlan;hapdi-tutunlan;may hapdi tutunlan;ginhapdi tutunlan,sore throat,pharyngitis,Respiratory,Low,throat;pain;pharyngitis
masakit tutunlan,sakit tutunlan;hapdi tutunlan;ginasakit tutunlan;sore throat;ginmasakit tutunlan;may masakit tutunlan;nagmasakit tutunlan;masakit-tutunlan,sore throat,pharyngitis,Respiratory,Low,throat;pain;pharyngitis
sakit tutunlan,masakit tutunlan;hapdi tutunlan;ginasakit tutunlan;sore throat;sakit-tutunlan;ginsakit tutunlan;may sakit tutunlan;nagsakit tutunlan,sore throat,pharyngitis,Respiratory,Low,throat;pain;pharyngitis
sore throat,masakit tutunlan;sakit tutunlan;hapdi tutunlan;ginasakit tutunlan;sore-throat,sore throat,pharyngitis,Respiratory,Low,throat;pain;pharyngitis
ginatulo sing dugo kag tonsil,ginatulo-sing-dugo-kag-tonsil,tonsil bleeding,tonsillar hemorrhage,Respiratory,Medium,blood;throat;tonsil
ginahubak,hubak;nagahubak;singaw;ginasingaw;wheezing,wheezing,wheezing,Respiratory,High,wheezing;asthma;lung;breathing
ginasingaw,hubak;ginahubak;nagahubak;singaw;wheezing,wheezing,wheezing,Respiratory,High,wheezing;asthma;lung;breathing
hubak,ginahubak;nagahubak;singaw;ginasingaw;wheezing,wheezing,wheezing,Respiratory,High,wheezing;asthma;lung;breathing
nagahubak,hubak;ginahubak;singaw;ginasingaw;wheezing,wheezing,wheezing,Respiratory,High,wheezing;asthma;lung;breathing
singaw,hubak;ginahubak;nagahubak;ginasingaw;wheezing,wheezing,wheezing,Respiratory,High,wheezing;asthma;lung;breathing
wheezing,hubak;ginahubak;nagahubak;singaw;ginasingaw,wheezing,wheezing,Respiratory,High,wheezing;asthma;lung;breathing
ginatulo sing dugo kag circumcision adult,ginatulo-sing-dugo-kag-circumcision-adult,adult circumcision bleeding,postoperative bleeding,Urology,Medium,blood;surgery;urology
ginatulo sing dugo kag bladder,ginatulo-sing-dugo-kag-bladder,bladder bleeding,bladder hemorrhage,Urology,High,blood;bladder
bladder pain,masakit tiyan mag ihi;bladder-pain,bladder pain,cystitis,Urology,Medium,bladder;uti;pain
masakit tiyan mag ihi,bladder pain;masakit tyan mag ihi;may masakit tiyan mag ihi;ginmasakit tiyan mag ihi;masakit-tiyan-mag-ihi;nagmasakit tiyan mag ihi,bladder pain,cystitis,Urology,Medium,bladder;uti;pain
bloody urine,may dugo sa ihi;dugo sa ihi;ginadugo ihi;ginadugo sa ihi;bloody-urine,blood in urine,hematuria,Urology,High,blood;urine;kidney;uti
dugo sa ihi,may dugo sa ihi;ginadugo ihi;ginadugo sa ihi;bloody urine;gindugo sa ihi;dugo-sa-ihi;nagdugo sa ihi,blood in urine,hematuria,Urology,High,blood;urine;kidney;uti
ginadugo ihi,may dugo sa ihi;dugo sa ihi;ginadugo sa ihi;bloody urine;ginadugo-ihi,blood in urine,hematuria,Urology,High,blood;urine;kidney;uti
ginadugo sa ihi,may dugo sa ihi;dugo sa ihi;ginadugo ihi;bloody urine;ginadugo-sa-ihi,blood in urine,hematuria,Urology,High,blood;urine;kidney;uti
may dugo sa ihi,dugo sa ihi;ginadugo ihi;ginadugo sa ihi;bloody urine;may-dugo-sa-ihi,blood in urine,hematuria,Urology,High,blood;urine;kidney;uti
ginatulo sing dugo kag catheter,ginatulo-sing-dugo-kag-catheter,catheter bleeding,catheter complication,Urology,Medium,blood;catheter;urine
ginauhaw tungod ihi,thirst frequent urine;ginauhaw-tungod-ihi,diabetes symptoms,diabetes mellitus,Urology,Medium,diabetes;urine;thirst
thirst frequent urine,ginauhaw tungod ihi;thirst-frequent-urine,diabetes symptoms,diabetes mellitus,Urology,Medium,diabetes;urine;thirst
ginatulo sing dugo kag dialysis,ginatulo-sing-dugo-kag-dialysis,dialysis bleeding,dialysis complication,Urology,High,blood;dialysis;kidney
flank pain urination,masakit kilid mag ihi;flank-pain-urination,flank pain urinary,pyelonephritis,Urology,High,kidney;flank;uti
masakit kilid mag ihi,flank pain urination;masakit-kilid-mag-ihi;nagmasakit kilid mag ihi;may masakit kilid mag ihi;ginmasakit kilid mag ihi,flank pain urinary,pyelonephritis,Urology,High,kidney;flank;uti
frequent urination,sige ihi;ginasige ihi;madamo ihi;ginamadamo ihi;frequent-urination,frequent urination,polyuria,Urology,Medium,urine;frequent;diabetes;uti
ginamadamo ihi,sige ihi;ginasige ihi;madamo ihi;frequent urination;ginamadamo-ihi,frequent urination,polyuria,Urology,Medium,urine;frequent;diabetes;uti
ginasige ihi,sige ihi;madamo ihi;ginamadamo ihi;frequent urination;ginasige-ihi,frequent urination,polyuria,Urology,Medium,urine;frequent;diabetes;uti
madamo ihi,sige ihi;ginasige ihi;ginamadamo ihi;frequent urination;ginmadamo ihi;nagmadamo ihi;madamo-ihi;may madamo ihi,frequent urination,polyuria,Urology,Medium,urine;frequent;diabetes;uti
sige ihi,ginasige ihi;madamo ihi;ginamadamo ihi;frequent urination;sige-ihi;may sige ihi;ginsige ihi;nagsige ihi,frequent urination,polyuria,Urology,Medium,urine;frequent;diabetes;uti
dili maka ihi,indi maka ihi;indi makaihi;dili makaihi;urinary retention;nagdili maka ihi;gindili maka ihi;dili-maka-ihi;may dili maka ihi,inability to urinate,urinary retention,Urology,High,urine;retention;blockage
dili makaihi,indi maka ihi;dili maka ihi;indi makaihi;urinary retention;nagdili makaihi;dili-makaihi;gindili makaihi;may dili makaihi,inability to urinate,urinary retention,Urology,High,urine;retention;blockage
indi maka ihi,dili maka ihi;indi makaihi;dili makaihi;urinary retention;nagindi maka ihi;ginindi maka ihi;indi-maka-ihi;may indi maka ihi,inability to urinate,urinary retention,Urology,High,urine;retention;blockage
indi makaihi,indi maka ihi;dili maka ihi;dili makaihi;urinary retention;nagindi makaihi;ginindi makaihi;indi-makaihi;may indi makaihi,inability to urinate,urinary retention,Urology,High,urine;retention;blockage
urinary retention,indi maka ihi;dili maka ihi;indi makaihi;dili makaihi;urinary-retention,inability to urinate,urinary retention,Urology,High,urine;retention;blockage
ginatulo sing dugo kag kidney,ginatulo-sing-dugo-kag-kidney,kidney bleeding,renal hemorrhage,Urology,Critical,blood;kidney
kidney pain,sakit kidney;sakit sa batok;kidney-pain,kidney pain,renal pain,Urology,High,kidney;pain;stone
sakit kidney,sakit sa batok;kidney pain;nagsakit kidney;sakit-kidney;ginsakit kidney;may sakit kidney,kidney pain,renal pain,Urology,High,kidney;pain;stone
sakit sa batok,sakit kidney;kidney pain;sakit-sa-batok;ginsakit sa batok;may sakit sa batok;nagsakit sa batok,kidney pain,renal pain,Urology,High,kidney;pain;stone
bato sa kidney,kidney stones;renal stone;bato-sa-kidney,kidney stones,nephrolithiasis,Urology,High,kidney;stone;pain
kidney stones,bato sa kidney;renal stone;kidney-stones,kidney stones,nephrolithiasis,Urology,High,kidney;stone;pain
renal stone,bato sa kidney;kidney stones;renal-stone,kidney stones,nephrolithiasis,Urology,High,kidney;stone;pain
decreased urine,ginadula ihi;decreased-urine,oliguria,oliguria,Urology,High,kidney;urine;dehydration
ginadula ihi,decreased urine;ginadula-ihi,oliguria,oliguria,Urology,High,kidney;urine;dehydration
ginasakit mag ihi,masakit mag ihi;masakit mag-ihi;masakit pag-ihi;sakit pag-ihi;ginasakit-mag-ihi,painful urination,dysuria,Urology,Medium,urine;pain;uti;infection
masakit mag ihi,masakit mag-ihi;masakit pag-ihi;sakit pag-ihi;ginasakit mag ihi;ginmasakit mag ihi;nagmasakit mag ihi;masakit-mag-ihi;may masakit mag ihi,painful urination,dysuria,Urology,Medium,urine;pain;uti;infection
masakit mag-ihi,masakit mag ihi;masakit pag-ihi;sakit pag-ihi;ginasakit mag ihi;may masakit mag-ihi;ginmasakit mag-ihi;masakit magihi;nagmasakit mag-ihi;masakit-mag-ihi,painful urination,dysuria,Urology,Medium,urine;pain;uti;infection
masakit pag-ihi,masakit mag ihi;masakit mag-ihi;sakit pag-ihi;ginasakit mag ihi;masakit-pag-ihi;may masakit pag-ihi;masakit pagihi;ginmasakit pag-ihi;nagmasakit pag-ihi;masakit pag ihi,painful urination,dysuria,Urology,Medium,urine;pain;uti;infection
sakit pag-ihi,masakit mag ihi;masakit mag-ihi;masakit pag-ihi;ginasakit mag ihi;ginsakit pag-ihi;sakit pag ihi;sakit pagihi;sakit-pag-ihi;may sakit pag-ihi;nagsakit pag-ihi,painful urination,dysuria,Urology,Medium,urine;pain;uti;infection
ginauhaw kag sige ihi,thirst polyuria;ginauhaw-kag-sige-ihi,polyuria polydipsia,diabetes mellitus,Urology,Medium,diabetes;urine;thirst
thirst polyuria,ginauhaw kag sige ihi;thirst-polyuria,polyuria polydipsia,diabetes mellitus,Urology,Medium,diabetes;urine;thirst
ginatulo sing dugo kag prostate,ginatulo-sing-dugo-kag-prostate,prostate bleeding,prostatic hemorrhage,Urology,Medium,blood;prostate
ginatulo sing dugo kag testicular injury,ginatulo-sing-dugo-kag-testicular-injury,testicular injury bleeding,testicular trauma,Urology,High,blood;testicle;trauma
ginatulo ihi,leaking urine;ginatulo-ihi,urinary incontinence,urinary incontinence,Urology,Medium,incontinence;urine;elderly
leaking urine,ginatulo ihi;leaking-urine,urinary incontinence,urinary incontinence,Urology,Medium,incontinence;urine;elderly
sakit pagihi,uti;urinary tract infection;may sakit pagihi;nagsakit pagihi;sakit-pagihi;ginsakit pagihi,urinary tract infection,urinary tract infection,Urology,Medium,uti;urine;infection
urinary tract infection,uti;sakit pagihi;urinary-tract-infection,urinary tract infection,urinary tract infection,Urology,Medium,uti;urine;infection
uti,urinary tract infection;sakit pagihi,urinary tract infection,urinary tract infection,Urology,Medium,uti;urine;infection
amenorrhea,wala regla;missed period,amenorrhea,amenorrhea,Women's Health,Medium,menstruation;missed;pregnancy
missed period,wala regla;amenorrhea;missed-period,amenorrhea,amenorrhea,Women's Health,Medium,menstruation;missed;pregnancy
wala regla,missed period;amenorrhea;ginwala regla;wala-regla;may wala regla;nagwala regla,amenorrhea,amenorrhea,Women's Health,Medium,menstruation;missed;pregnancy
breast pain,masakit suso;mastalgia;breast-pain,breast pain,mastalgia,Women's Health,Medium,breast;pain;lump
masakit suso,breast pain;mastalgia;ginmasakit suso;masakit-suso;nagmasakit suso;may masakit suso,breast pain,mastalgia,Women's Health,Medium,breast;pain;lump
mastalgia,masakit suso;breast pain,breast pain,mastalgia,Women's Health,Medium,breast;pain;lump
breast swelling,nagapamulang suso;breast-swelling,breast swelling,mastitis,Women's Health,Medium,breast;swelling;infection
nagapamulang suso,breast swelling;nagapamulang-suso,breast swelling,mastitis,Women's Health,Medium,breast;swelling;infection
ginatulo sing dugo kag cervical,ginatulo-sing-dugo-kag-cervical,cervical bleeding,cervical hemorrhage,Women's Health,High,blood;cervix
dysmenorrhea,masakit regla;painful menstruation,dysmenorrhea,dysmenorrhea,Women's Health,Medium,menstruation;pain;period
masakit regla,painful menstruation;dysmenorrhea;may masakit regla;masakit-regla;ginmasakit regla;nagmasakit regla,dysmenorrhea,dysmenorrhea,Women's Health,Medium,menstruation;pain;period
painful menstruation,masakit regla;dysmenorrhea;painful-menstruation,dysmenorrhea,dysmenorrhea,Women's Health,Medium,menstruation;pain;period
breathless pregnancy,nagadula ginhawa buntis;breathless-pregnancy,dyspnea in pregnancy,dyspnea in pregnancy,Women's Health,High,pregnancy;breath;emergency
nagadula ginhawa buntis,breathless pregnancy;nagadula-ginhawa-buntis,dyspnea in pregnancy,dyspnea in pregnancy,Women's Health,High,pregnancy;breath;emergency
ginatulo sing dugo kag ectopic,ginatulo-sing-dugo-kag-ectopic,ectopic bleeding,ectopic pregnancy,Women's Health,Critical,blood;ectopic;emergency
ginatulo sing dugo kag fetal injury,ginatulo-sing-dugo-kag-fetal-injury,fetal injury bleeding,fetal trauma,Women's Health,Critical,blood;fetus;trauma
fever pregnancy,nagahilanat buntis;fever-pregnancy,fever in pregnancy,fever in pregnancy,Women's Health,High,pregnancy;fever;infection
nagahilanat buntis,fever pregnancy;nagahilanat-buntis,fever in pregnancy,fever in pregnancy,Women's Health,High,pregnancy;fever;infection
ginatulo sing dugo kag regla,ginatulo-sing-dugo-kag-regla,heavy menstrual bleeding,menorrhagia,Women's Health,High,blood;period;menstruation
irregular period,nagadula regla;irregular-period,irregular menstruation,irregular menstruation,Women's Health,Low,period;irregular;hormone
nagadula regla,irregular period;nagadula-regla,irregular menstruation,irregular menstruation,Women's Health,Low,period;irregular;hormone
ginatulo sing dugo kag labor,ginatulo-sing-dugo-kag-labor,labor bleeding,obstetric hemorrhage,Women's Health,Critical,blood;labor;delivery
heavy period,madamo dugo regla;heavy-period,menorrhagia,menorrhagia,Women's Health,Medium,menstruation;bleeding;period
madamo dugo regla,heavy period;may madamo dugo regla;nagmadamo dugo regla;madamo-dugo-regla;ginmadamo dugo regla,menorrhagia,menorrhagia,Women's Health,Medium,menstruation;bleeding;period
ginatulo sing dugo kag menstruation,ginatulo-sing-dugo-kag-menstruation,menstrual bleeding severe,menorrhagia,Women's Health,High,blood;period;severe
masakit tiyan regla,menstrual cramps;ginmasakit tiyan regla;nagmasakit tiyan regla;masakit-tiyan-regla;may masakit tiyan regla;masakit tyan regla,menstrual cramps,dysmenorrhea,Women's Health,Medium,period;cramps;abdomen
menstrual cramps,masakit tiyan regla;menstrual-cramps,menstrual cramps,dysmenorrhea,Women's Health,Medium,period;cramps;abdomen
ginatulo sing dugo kag miscarriage,ginatulo-sing-dugo-kag-miscarriage,miscarriage bleeding,spontaneous abortion,Women's Health,Critical,blood;pregnancy;miscarriage
ginatulo sing dugo kag molar,ginatulo-sing-dugo-kag-molar,molar pregnancy bleeding,molar pregnancy,Women's Health,Critical,blood;pregnancy;molar
ginatulo sing dugo kag ovary,ginatulo-sing-dugo-kag-ovary,ovarian bleeding,ovarian hemorrhage,Women's Health,High,blood;ovary
ginatulo sing dugo kag ovarian injury,ginatulo-sing-dugo-kag-ovarian-injury,ovarian injury bleeding,ovarian trauma,Women's Health,High,blood;ovary;trauma
ginatulo sing dugo kag placenta,ginatulo-sing-dugo-kag-placenta,placental bleeding,placental abruption,Women's Health,Critical,blood;pregnancy;placenta
ginatulo sing dugo kag placental injury,ginatulo-sing-dugo-kag-placental-injury,placental injury bleeding,placental trauma,Women's Health,Critical,blood;placenta;trauma
ginatulo sing dugo kag postpartum,ginatulo-sing-dugo-kag-postpartum,postpartum bleeding,postpartum hemorrhage,Women's Health,Critical,blood;postpartum;emergency
masakit tiyan buntis,pregnancy abdominal pain;ginmasakit tiyan buntis;masakit tyan buntis;may masakit tiyan buntis;masakit-tiyan-buntis;nagmasakit tiyan buntis,pregnancy abdominal pain,pregnancy complication,Women's Health,High,pregnancy;abdomen;pain
pregnancy abdominal pain,masakit tiyan buntis;pregnancy-abdominal-pain,pregnancy abdominal pain,pregnancy complication,Women's Health,High,pregnancy;abdomen;pain
nagadugo buntis,pregnancy bleeding;nagadugo-buntis,pregnancy bleeding,pregnancy bleeding,Women's Health,Critical,pregnancy;bleeding;emergency
pregnancy bleeding,nagadugo buntis;pregnancy-bleeding,pregnancy bleeding,pregnancy bleeding,Women's Health,Critical,pregnancy;bleeding;emergency
ginatulo sing dugo kag buntis,ginatulo-sing-dugo-kag-buntis,pregnancy bleeding severe,obstetric hemorrhage,Women's Health,Critical,blood;pregnancy;emergency
PMS appetite,nagadula gana regla;PMS-appetite,premenstrual symptoms,premenstrual syndrome,Women's Health,Low,period;PMS;mood
nagadula gana regla,PMS appetite;nagadula-gana-regla,premenstrual symptoms,premenstrual syndrome,Women's Health,Low,period;PMS;mood
ginatulo sing dugo kag fallopian,ginatulo-sing-dugo-kag-fallopian,tubal bleeding,ectopic pregnancy,Women's Health,Critical,blood;pregnancy;ectopic
ginatulo sing dugo kag uterus,ginatulo-sing-dugo-kag-uterus,uterine bleeding,uterine hemorrhage,Women's Health,High,blood;uterus
ginatulo sing dugo kag uterine injury,ginatulo-sing-dugo-kag-uterine-injury,uterine injury bleeding,uterine trauma,Women's Health,High,blood;uterus;trauma
ginatulo sing dugo kag vaginal,ginatulo-sing-dugo-kag-vaginal,vaginal bleeding,vaginal hemorrhage,Women's Health,High,blood;vaginal
