id,patient_complaint_hiligaynon,normalized_symptom,english_translation,medical_term,body_system,urgency_level,alternative_spellings,possible_conditions,confidence_keywords
113,complain ko kay chest pain gid ko subong subong,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
114,complain ko kay daw ginapigos akon dughan ako,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
115,complain ko kay daw ginapigos akon dughan gid ako,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
116,complain ko kay daw ginapigos akon dughan ko,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
117,complain ko kay daw ginapigos akon dughan na gid,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
118,complain ko kay daw ginapunaw ko tungod dughan,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
119,complain ko kay daw ginapunaw ko tungod dughan gid,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
120,complain ko kay daw ginapunaw ko tungod dughan gid ako,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
121,complain ko kay daw ginapunaw ko tungod dughan subong,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
122,complain ko kay daw may pressure sa dughan ko,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
123,complain ko kay daw may pressure sa dughan ko ako,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
124,complain ko kay daw may pressure sa dughan ko gid,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
125,complain ko kay daw may pressure sa dughan ko ko,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
126,complain ko kay daw may pressure sa dughan ko man,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
127,complain ko kay gakurot akon dughan daw malala gid ako,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
128,complain ko kay gakurot akon dughan daw malala na gid,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
129,complain ko kay gakurot akon dughan sobra,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
130,complain ko kay gapigos gid dughan ko ako,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
131,complain ko kay gapigos gid dughan ko man,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
132,complain ko kay gapigos gid dughan ko na gid,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
133,complain ko kay gapigos gid dughan ko subong,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
134,complain ko kay grabe sakit dughan ko,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
135,complain ko kay grabe sakit dughan ko ako,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
136,complain ko kay grabe sakit dughan ko gid,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
137,complain ko kay grabe sakit dughan ko gid ko,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
138,complain ko kay grabe sakit dughan ko ko,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
139,complain ko kay grabe sakit dughan ko subong,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
140,complain ko kay kusog tibok sang tagipusuon ko gid ko,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
141,complain ko kay kusog tibok sang tagipusuon ko ko,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
142,complain ko kay kusog tibok sang tagipusuon ko man,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
143,complain ko kay kusog tibok sang tagipusuon ko na gid,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
144,complain ko kay masakit akon dughan pirmi ako,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
145,complain ko kay masakit akon dughan sige gid ko,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
146,complain ko kay masakit akon dughan sige man,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
147,complain ko kay masakit akon dughan subong gid ko,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
148,complain ko kay masakit dibdib ko halin sang gabii ako,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
149,complain ko kay masakit dibdib ko halin sang gabii ko,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
150,complain ko kay masakit dibdib ko halin sang gabii na gid,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
151,complain ko kay masakit dibdib ko karon ako,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
152,complain ko kay masakit dibdib ko karon man,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
153,complain ko kay masakit dibdib ko subong ako,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
154,complain ko kay may ara ko chest pain ako,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
155,complain ko kay may ara ko chest pain gid,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
156,complain ko kay may ara ko chest pain gid ko,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
157,complain ko kay may ara ko chest pain ko,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
158,complain ko kay may ara ko chest pain na gid,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
159,complain ko kay may ara ko chest pain subong,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
160,complain ko kay may ginabatyag ko nga sakit sa dughan gid ako,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
161,complain ko kay may ginabatyag ko nga sakit sa dughan gid ko,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
162,complain ko kay may ginabatyag ko nga sakit sa dughan ko,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
163,complain ko kay may ginabatyag ko nga sakit sa dughan na gid,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
164,daw chest pain gid ko subong,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
165,daw chest pain gid ko subong gid,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
166,daw chest pain gid ko subong man,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
167,daw daw ginapigos akon dughan ako,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
168,daw daw ginapigos akon dughan gid,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
169,daw daw ginapigos akon dughan gid ako,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
170,daw daw ginapigos akon dughan man,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
171,daw daw ginapigos akon dughan na gid,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
172,daw daw ginapigos akon dughan subong,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
173,daw daw ginapunaw ko tungod dughan ko,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
174,daw daw ginapunaw ko tungod dughan man,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
175,daw daw ginapunaw ko tungod dughan na gid,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
176,daw daw ginapunaw ko tungod dughan subong,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
